rt,acc,subject,word,priming_effect,speech_isochrony,syllable_number
1641.7486,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,dinosaur,consistent,original,trisyllabic
1329.5623,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,dolphin,inconsistent,original,disyllabic
1729.9663,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,turkey,inconsistent,original,disyllabic
1700.4158,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,octopus,inconsistent,original,trisyllabic
1430.6813,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,canary,consistent,original,trisyllabic
1151.6053,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,parrot,consistent,original,disyllabic
1794.8541,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,jellyfish,consistent,original,trisyllabic
1319.5542,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,lyrebird,inconsistent,original,trisyllabic
1190.8802,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,pigeon,inconsistent,original,disyllabic
1591.2443999999998,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,kangaroo,consistent,original,trisyllabic
1053.0082,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,giraffe,consistent,original,disyllabic
1481.5248000000001,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,ladybug,inconsistent,original,trisyllabic
1531.0961,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,turtle,inconsistent,original,disyllabic
859.552,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,parrot,inconsistent,original,disyllabic
1198.2239,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,penguin,consistent,original,disyllabic
1233.1045000000001,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,monkey,inconsistent,original,disyllabic
931.2593999999999,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,ladybug,consistent,original,trisyllabic
1303.4873,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,lionfish,inconsistent,original,trisyllabic
1458.0086999999999,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,spider,consistent,original,disyllabic
930.7054999999999,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,pigeon,consistent,original,disyllabic
1244.3841,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,donkey,consistent,original,disyllabic
1781.5505,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,gorilla,consistent,original,trisyllabic
825.8937,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,monkey,consistent,original,disyllabic
1171.0343,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,seahorse,consistent,original,disyllabic
903.8872,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,penguin,inconsistent,original,disyllabic
1748.7591,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,mosquito,inconsistent,original,trisyllabic
1314.2919,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,lyrebird,consistent,original,trisyllabic
1138.9306,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,turkey,consistent,original,disyllabic
1871.9119,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,antelope,consistent,original,trisyllabic
910.9511,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,dolphin,consistent,original,disyllabic
922.1006000000001,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,giraffe,inconsistent,original,disyllabic
