sub,priming,word,ifanimal,ifcorr,rt,exp_type,syl
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,onion,FALSE,1,1.5184713,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,cucumber,FALSE,1,0.9461191,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,gravity,FALSE,1,1.7346894,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,coffee,FALSE,1,1.3635438,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,penguin,TRUE,1,1.3895044,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,penguin,TRUE,1,1.0743763,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,donkey,TRUE,1,1.6090171,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,antelope,TRUE,0,2.2277336,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,goldfish,TRUE,1,2.1304269,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,mountain,FALSE,1,1.2427558,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,sunshine,FALSE,1,1.1168725,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,canary,TRUE,0,1.3826639,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,spider,TRUE,1,1.2842177,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,gravity,FALSE,1,1.2332039,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,jellyfish,TRUE,1,1.6965762,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,flower,FALSE,1,1.4136795,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,cucumber,FALSE,1,1.1081889,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,antelope,TRUE,0,1.3541887,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,violin,FALSE,1,1.3043979,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,goldfish,TRUE,1,1.1985414,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,mosquito,TRUE,1,1.8043901,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,gravity,FALSE,1,1.07247,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,seahorse,TRUE,1,1.4055532,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,tomato,FALSE,1,1.4013744,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,canary,TRUE,0,1.2741239,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,energy,FALSE,1,1.2755303,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,lyrebird,TRUE,1,2.0671407,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,coffee,FALSE,1,1.1443144,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,tomato,FALSE,1,1.0330875,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,bicycle,FALSE,1,1.2654802,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,umbrella,FALSE,1,1.4606918,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,rubbish,FALSE,1,1.4238913,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,dolphin,TRUE,1,2.0171911,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,lionfish,TRUE,1,1.7408748,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,onion,FALSE,1,1.071068,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,dolphin,TRUE,1,1.952992,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,jellyfish,TRUE,1,1.5197359,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,potato,FALSE,1,1.3482115,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,gorilla,TRUE,1,1.7954233,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,potato,FALSE,1,1.3670482,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,lyrebird,TRUE,1,1.8596667,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,pencil,FALSE,1,0.9788204,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,sunshine,FALSE,1,0.8979822,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,parrot,TRUE,1,1.5129944,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,monkey,TRUE,1,1.7992117,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,flower,FALSE,1,0.8965181,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,violin,FALSE,1,1.2617728,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,banana,FALSE,1,1.1752335,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,pigeon,TRUE,1,1.9262077,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,cucumber,FALSE,1,1.2771819,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,mosquito,TRUE,1,1.2436997,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,software,FALSE,1,1.2779513,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,turtle,TRUE,0,1.5999628,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,bicycle,FALSE,1,1.692787,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,musical,FALSE,1,1.2705951,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,anxiety,FALSE,1,1.565538,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,banana,FALSE,1,0.8810517,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,dinosaur,TRUE,1,1.3570234,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,elephant,TRUE,1,1.2524416,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,balcony,FALSE,1,1.8620924,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,ladybug,TRUE,0,2.2134124,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,octopus,TRUE,1,1.3438611,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,software,FALSE,1,1.1023958,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,giraffe,TRUE,1,1.0127888,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,guitar,FALSE,1,1.0217501,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,turtle,TRUE,0,1.5589987,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,parrot,TRUE,1,1.5725833,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,carrot,FALSE,0,2.0206838,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,mountain,FALSE,1,1.4881461,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,balcony,FALSE,1,1.0597936,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,energy,FALSE,1,1.0604679,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,medicine,FALSE,1,1.1654892,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,pencil,FALSE,1,0.8608689,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,onion,FALSE,1,0.8628167,exp1,2
